time_s,ardg_active,ardg_blend,ardg_correction_x_nm,ardg_correction_y_nm,ardg_residual_tau_x_nm,ardg_residual_tau_y_nm,ardg_translation_residual_n,ardg_torque_mode,ardg_translation_score,ardg_safety_valid
42.62,0.0,0.0,0.0,0.0,1.0088291032150552e-17,-1.3834259578449406e-17,9.701604946377087e-17,0.0,1.9403209892754175e-14,1.0
42.63,0.0,0.0,0.0,0.0,-2.546352234517887e-18,-1.0836678119035584e-18,4.4814622204627274e-17,0.0,8.962924440925455e-15,1.0
42.64,0.0,0.0,0.0,0.0,2.0921431635081368e-19,4.834576983713602e-20,1.8677704016233052e-17,0.0,3.7355408032466105e-15,1.0
42.65,0.0,0.0,0.0,0.0,-4.226699076485462e-18,-2.419100411827053e-17,2.9220901149050664e-18,0.0,5.844180229810133e-16,1.0
42.660000000000004,0.0,0.0,0.0,0.0,2.2108797510488357e-17,3.806014144014754e-18,7.74659769214213e-17,0.0,1.549319538428426e-14,1.0
42.67,0.0,0.0,0.0,0.0,1.758517258246536e-17,-1.1087251038431335e-19,6.625913962843375e-17,0.0,1.3251827925686751e-14,1.0
42.68,0.0,0.0,0.0,0.0,1.489435855848712e-18,-1.863487660495906e-17,1.609897522055839e-17,0.0,3.219795044111678e-15,1.0
42.69,0.0,0.0,0.0,0.0,-3.723924937583007e-18,5.79899539876246e-18,2.241394179311868e-17,0.0,4.482788358623736e-15,1.0
42.7,0.0,0.0,0.0,0.0,2.0830192777050277e-17,1.6654158686408935e-19,3.2197222313930556e-18,0.0,6.439444462786112e-16,1.0
42.71,0.0,0.0,0.0,0.0,8.206446796424077e-18,3.696340496107606e-18,7.53694415351712e-17,0.0,1.507388830703424e-14,1.0
42.72,0.0,0.0,0.0,0.0,1.346808592265142e-17,-1.962346324867276e-18,1.0625342996724589e-16,0.0,2.1250685993449176e-14,1.0
42.730000000000004,0.0,0.0,0.0,0.0,1.0844302289159113e-17,-1.067466661224777e-17,6.188767085280577e-17,0.0,1.2377534170561154e-14,1.0
42.74,0.0,0.0,0.0,0.0,8.105305211543011e-18,-1.0686202699196488e-17,5.810793032622285e-17,0.0,1.162158606524457e-14,1.0
42.75,0.0,0.0,0.0,0.0,6.141619886664673e-18,-9.872518447739606e-18,6.991197056844691e-17,0.0,1.3982394113689381e-14,1.0
42.76,0.0,0.0,0.0,0.0,-4.00688255942109e-18,-1.8921690846543304e-17,8.218932561862683e-17,0.0,1.6437865123725364e-14,1.0
42.77,0.0,0.0,0.0,0.0,-6.5257682571901406e-18,5.2451477195983154e-18,5.203667847742345e-17,0.0,1.0407335695484691e-14,1.0
42.78,0.0,0.0,0.0,0.0,2.783334012123619e-18,-1.8085063816914377e-18,1.2167038638331583e-16,0.0,2.4334077276663166e-14,1.0
42.79,0.0,0.0,0.0,0.0,2.5752464082500518e-18,-1.598163566954028e-18,1.0951718490641859e-16,0.0,2.190343698128372e-14,1.0
42.800000000000004,0.0,0.0,0.0,0.0,1.5760260179486787e-17,-1.5014654232569558e-17,7.534725420215864e-17,0.0,1.5069450840431728e-14,1.0
42.81,0.0,0.0,0.0,0.0,5.095494949654881e-18,-1.493949470842668e-17,8.23118577198751e-17,0.0,1.646237154397502e-14,1.0
42.82,0.0,0.0,0.0,0.0,1.0838993264138848e-17,-1.0871325592085862e-17,1.142932953915444e-16,0.0,2.2858659078308883e-14,1.0
42.83,0.0,0.0,0.0,0.0,7.310670938306038e-19,-2.1613159044805227e-17,1.5527218623206816e-16,0.0,3.1054437246413635e-14,1.0
42.84,0.0,0.0,0.0,0.0,1.0073976903951172e-17,-1.3231699333544056e-17,1.9366943041752663e-16,0.0,3.873388608350532e-14,1.0
42.85,0.0,0.0,0.0,0.0,1.2357747930697027e-17,-1.7133143338220618e-17,1.9320343831936333e-16,0.0,3.864068766387266e-14,1.0
42.86,0.0,0.0,0.0,0.0,1.1355105867170635e-17,-1.450130271022882e-17,1.585148734831165e-16,0.0,3.17029746966233e-14,1.0
42.87,0.0,0.0,0.0,0.0,-3.578715347068861e-18,-6.287676440476547e-18,1.0121334087649582e-16,0.0,2.0242668175299162e-14,1.0
42.88,0.0,0.0,0.0,0.0,3.5862877669415546e-18,-2.0725435098009344e-17,7.987742745770633e-17,0.0,1.5975485491541266e-14,1.0
42.89,0.0,0.0,0.0,0.0,2.240590557647512e-18,2.6833166992918235e-18,8.66090717168128e-17,0.0,1.732181434336256e-14,1.0
42.9,0.0,0.0,0.0,0.0,2.875816978847416e-18,-6.031163761031025e-18,4.9102714811101565e-17,0.0,9.820542962220313e-15,1.0
42.910000000000004,0.0,0.0,0.0,0.0,1.6675001851857928e-17,-1.1029498023339569e-17,3.69404333200346e-17,0.0,7.388086664006919e-15,1.0
42.92,0.0,0.0,0.0,0.0,4.7756523802341544e-18,7.033170697085163e-18,1.7554586211982694e-17,0.0,3.510917242396539e-15,1.0
42.93,0.0,0.0,0.0,0.0,7.84165850025475e-18,2.9856371627329484e-18,5.683610516839024e-17,0.0,1.1367221033678047e-14,1.0
42.94,0.0,0.0,0.0,0.0,-6.556381216990536e-19,1.7873508862851107e-18,2.1086926422877564e-17,0.0,4.217385284575513e-15,1.0
42.95,0.0,0.0,0.0,0.0,2.2517840829708084e-18,-8.494258946036164e-19,7.750504885497417e-17,0.0,1.5501009770994832e-14,1.0
42.96,0.0,0.0,0.0,0.0,2.1943186824039543e-18,-4.1132912314737514e-18,1.226145987232355e-16,0.0,2.4522919744647098e-14,1.0
42.97,0.0,0.0,0.0,0.0,1.1062557241869058e-17,-3.914940875530674e-18,1.1138642453140057e-16,0.0,2.2277284906280113e-14,1.0
42.980000000000004,0.0,0.0,0.0,0.0,1.2853507180205741e-17,-1.605983289549304e-17,5.84702836936015e-17,0.0,1.16940567387203e-14,1.0
42.99,0.0,0.0,0.0,0.0,1.0837272275907232e-17,-1.2391976921295394e-17,6.938847432780537e-17,0.0,1.3877694865561073e-14,1.0
43.0,0.0,0.0,0.0,0.0,-2.3260500880240496e-18,-5.918020264234345e-18,6.402263654008863e-17,0.0,1.2804527308017725e-14,1.0
43.01,0.0,0.0,0.0,0.0,3.893614709272269e-19,3.4187383666220423e-18,6.100411957216219e-17,0.0,1.2200823914432438e-14,1.0
43.02,0.0,0.0,0.0,0.0,1.96270420523276e-18,8.481979647210169e-19,4.5865021011649557e-17,0.0,9.17300420232991e-15,1.0
43.03,0.0,0.0,0.0,0.0,2.1666313392135904e-18,-1.3606307058247738e-18,5.649844678965748e-17,0.0,1.1299689357931495e-14,1.0
43.04,0.0,0.0,0.0,0.0,9.897861203916864e-18,-1.373540402883119e-18,1.569594747909859e-17,0.0,3.1391894958197177e-15,1.0
43.050000000000004,0.0,0.0,0.0,0.0,1.077467085716012e-17,-1.1195487730199954e-18,5.61991897252196e-17,0.0,1.1239837945043919e-14,1.0
43.06,0.0,0.0,0.0,0.0,-6.357447774123375e-18,3.502168888743051e-18,3.47060120530222e-17,0.0,6.94120241060444e-15,1.0
43.07,0.0,0.0,0.0,0.0,1.1081530070658468e-17,-5.240933858084555e-18,5.78396880392027e-17,0.0,1.156793760784054e-14,1.0
43.08,0.0,0.0,0.0,0.0,-1.4371016682880489e-18,-1.7199485685930756e-19,1.7379510914540167e-17,0.0,3.475902182908033e-15,1.0
43.09,0.0,0.0,0.0,0.0,1.209161304166911e-18,-9.180605156910485e-19,5.819011651103201e-17,0.0,1.1638023302206402e-14,1.0
43.1,0.0,0.0,0.0,0.0,-7.509161011470221e-19,4.2709163109373986e-19,3.2216457096076943e-17,0.0,6.443291419215388e-15,1.0
43.11,0.0,0.0,0.0,0.0,1.7208010684385853e-17,1.1062269003418747e-18,6.315018882690667e-17,0.0,1.2630037765381333e-14,1.0
43.12,0.0,0.0,0.0,0.0,-5.882849075769003e-18,6.6135406077534575e-18,4.528047379481783e-17,0.0,9.056094758963567e-15,1.0
43.13,0.0,0.0,0.0,0.0,2.270709442780025e-18,2.4686070948109354e-19,4.839974534819928e-17,0.0,9.679949069639856e-15,1.0
43.14,0.0,0.0,0.0,0.0,-4.276553367244404e-18,-5.136963472256958e-18,2.2622806070468525e-17,0.0,4.524561214093705e-15,1.0
43.15,0.0,0.0,0.0,0.0,8.942171243392101e-18,-1.0969565237243472e-18,4.9221613486671575e-17,0.0,9.844322697334314e-15,1.0
43.160000000000004,0.0,0.0,0.0,0.0,-4.619398905307078e-19,-1.4357090497899329e-18,4.791119094821524e-17,0.0,9.582238189643048e-15,1.0
43.17,0.0,0.0,0.0,0.0,2.2215831498190645e-18,-1.8284513705569825e-18,7.586230868181696e-17,0.0,1.517246173636339e-14,1.0
43.18,0.0,0.0,0.0,0.0,1.7112399578307116e-18,-1.7868880179812367e-18,7.422644165590517e-17,0.0,1.4845288331181034e-14,1.0
43.19,0.0,0.0,0.0,0.0,1.7371750109266275e-17,-1.50816447276602e-17,8.94311436419825e-17,0.0,1.78862287283965e-14,1.0
43.2,0.0,0.0,0.0,0.0,7.841985409676832e-18,-1.5682158827367308e-17,1.1849010772244619e-16,0.0,2.3698021544489236e-14,1.0
43.21,0.0,0.0,0.0,0.0,1.0347596228176286e-17,-9.326780528362005e-18,5.658146929203175e-17,0.0,1.1316293858406349e-14,1.0
43.22,0.0,0.0,0.0,0.0,1.3222747028953961e-17,-1.425768916543831e-17,5.672397398308722e-17,0.0,1.1344794796617444e-14,1.0
43.230000000000004,0.0,0.0,0.0,0.0,-7.163363408958999e-18,3.892318524544279e-18,9.050413783665277e-17,0.0,1.8100827567330555e-14,1.0
43.24,0.0,0.0,0.0,0.0,-1.6863361789264875e-18,-9.50235959033207e-19,8.966722315494519e-17,0.0,1.7933444630989038e-14,1.0
43.25,0.0,0.0,0.0,0.0,-3.970625206307556e-19,-7.946448012967535e-18,3.195359418886888e-17,0.0,6.390718837773776e-15,1.0
43.26,0.0,0.0,0.0,0.0,-1.1104126148833443e-18,-4.7408476405460305e-18,6.579967080210445e-17,0.0,1.315993416042089e-14,1.0
43.27,0.0,0.0,0.0,0.0,-1.1441553039862965e-18,5.305806448121701e-18,8.258971708599314e-17,0.0,1.651794341719863e-14,1.0
43.28,0.0,0.0,0.0,0.0,-1.964664485401784e-18,4.132620144610869e-18,9.447534341126929e-17,0.0,1.8895068682253856e-14,1.0
43.29,0.0,0.0,0.0,0.0,-1.0310615982592937e-18,1.4428701488525355e-18,5.256723334689626e-17,0.0,1.0513446669379252e-14,1.0
43.300000000000004,0.0,0.0,0.0,0.0,1.6012535506462515e-18,-4.409818784471334e-19,4.358178835328082e-17,0.0,8.716357670656163e-15,1.0
43.31,0.0,0.0,0.0,0.0,3.0583980214795756e-19,-9.044668602476286e-19,3.566259603220636e-17,0.0,7.132519206441271e-15,1.0
43.32,0.0,0.0,0.0,0.0,7.632640136901513e-19,-2.2718058342685767e-18,1.4196611546077708e-17,0.0,2.8393223092155415e-15,1.0
43.33,0.0,0.0,0.0,0.0,5.711881524147403e-19,-1.014149522218131e-18,2.7377036033974365e-17,0.0,5.475407206794873e-15,1.0
43.34,0.0,0.0,0.0,0.0,7.112596768529441e-19,6.926702128047196e-19,6.298349516961376e-17,0.0,1.2596699033922752e-14,1.0
43.35,0.0,0.0,0.0,0.0,-4.142971672160532e-19,2.041518502528903e-18,9.347992380763728e-17,0.0,1.8695984761527454e-14,1.0
43.36,0.0,0.0,0.0,0.0,-2.9787273830552476e-18,5.962136713178151e-18,9.306861685481643e-17,0.0,1.8613723370963287e-14,1.0
43.37,0.0,0.0,0.0,0.0,5.944525438495621e-18,-2.2933403020165763e-18,1.8069871859150396e-16,0.0,3.6139743718300794e-14,1.0
43.38,0.0,0.0,0.0,0.0,4.822668211613674e-18,-3.8490224543912024e-18,1.6171550147280675e-16,0.0,3.234310029456135e-14,1.0
