time_s,reference_1,reference_2,reference_3,position_x_m,position_y_m,position_z_m,angle_roll_rad,angle_pitch_rad,angle_yaw_rad,motor_command_1,motor_command_2,motor_command_3,motor_command_4,rotor_speed_1_radps,rotor_speed_2_radps,rotor_speed_3_radps,rotor_speed_4_radps,event_code,external_torque_body_x_nm,external_torque_body_y_nm,external_torque_body_z_nm
0.49,0.0,0.0,0.147,-1.74951238748861e-12,4.81824681216334e-12,6.965840460048554e-05,2.2601415368838887e-10,8.023307026305873e-11,-6.791760042089171e-11,2.5910665996118185,-2.5910665922290894,2.591066588950403,-2.591066597293487,2.5910216455414923,-2.591021638168957,2.591021634894083,-2.591021643226965,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.15,-1.890711954998465e-12,5.2019450172422055e-12,7.09469636659611e-05,2.4526756990896247e-10,8.711583003631314e-11,-6.901305623154403e-11,2.623963892195571,-2.623963884211112,2.623963880709012,-2.623963889669316,2.623918937642511,-2.623918929668899,2.623918926170941,-2.62391893512039,0.0,0.0,0.0,0.0
0.51,0.0,0.0,0.153,-2.039239466676612e-12,5.606766034266864e-12,7.223102711918904e-05,2.6576474394708016e-10,9.443265364119844e-11,-7.010654283699595e-11,2.657041127405809,-2.657041118783933,2.657041115045847,-2.6570411246590298,2.656996170617416,-2.656996162006893,2.6569961582732056,-2.656996167875029,0.0,0.0,0.0,0.0
0.52,0.0,0.0,0.156,-2.1952537902899168e-12,6.033269554294667e-12,7.351064463157385e-05,2.875527467891826e-10,1.0219924012744659e-10,-7.119749359327631e-11,2.690298306288551,-2.690298296992295,2.6902982930051773,-2.6902983033081656,2.690253345428519,-2.6902533361439485,2.6902533321613964,-2.6902533424526944,0.0,0.0,0.0,0.0
0.53,0.0,0.0,0.159,-2.358913793605247e-12,6.482015268382968e-12,7.478586587451999e-05,3.1067864942171006e-10,1.104312885447896e-10,-7.228534185641715e-11,2.7237354298897243,-2.7237354198808523,2.723735415631184,-2.7237354266621705,2.7236904630381296,-2.723690453041074,2.723690448796036,-2.7236904598152027,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.162,-2.5302208661582808e-12,6.953043024724647e-12,7.605674052087027e-05,3.351853247591344e-10,1.191438723115062e-10,-7.337039277222994e-11,2.757352498358793,-2.757352487598287,2.757352483072242,-2.757352494870205,2.757307523719497,-2.7573075129707303,2.7573075084492733,-2.757307520235494,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.165,-2.705134173109691e-12,7.43304910343925e-12,7.732331828038754e-05,3.6100788765494016e-10,1.283360058471748e-10,-7.447532899138442e-11,2.791149488831798,-2.791149477292503,2.7911494724802277,-2.7911494850726037,2.7911045100586844,-2.7911044985313587,2.7911044937237914,-2.791104506304196,0.0,0.0,0.0,0.0
0.56,0.0,0.0,0.168,-2.886493223410354e-12,7.931442115089987e-12,7.85856487999924e-05,3.8826486992242787e-10,1.3803403788578347e-10,-7.558474400564265e-11,2.825126417616246,-2.8251264052613467,2.825126400149676,-2.825126413573343,2.825081434747434,-2.825081422404669,2.825081417297793,-2.825081430709325,0.0,0.0,0.0,0.0
0.5700000000000001,0.0,0.0,0.171,-3.074255358381057e-12,8.448116502691947e-12,7.984378175293e-05,4.16997970233923e-10,1.4825286685032067e-10,-7.669918680902736e-11,2.85928328461079,-2.859283271402827,2.8592832659783363,-2.8592832802708257,2.8592382978662565,-2.859238284670526,2.859238279250884,-2.85923829353114,0.0,0.0,0.0,0.0
0.58,0.0,0.0,0.174,-3.268377919342584e-12,8.982966709260218e-12,8.109776681244541e-05,4.4724888726175046e-10,1.5900739116377447e-10,-7.781920639556535e-11,2.8936200897140925,-2.8936200756149635,2.8936200698639687,-2.893620085063461,2.893575099495662,-2.893575085408796,2.893575079662665,-2.8935750948498957,0.0,0.0,0.0,0.0
0.59,0.0,0.0,0.177,-3.468818247615725e-12,9.535887177809904e-12,8.234765365178385e-05,4.790593196782364e-10,1.7031250924913328e-10,-7.894535175928755e-11,2.928136832824773,-2.9281368177957314,2.928136811704289,-2.928136827849618,2.928091839716163,-2.9280918246993446,2.928091818612744,-2.92809183474585,0.0,0.0,0.0,0.0
