time_s,uav1_actual_x_m,uav1_actual_y_m,uav1_actual_z_m,uav2_actual_x_m,uav2_actual_y_m,uav2_actual_z_m,uav3_actual_x_m,uav3_actual_y_m,uav3_actual_z_m,uav1_commanded_x_m,uav1_commanded_y_m,uav1_commanded_z_m,uav2_commanded_x_m,uav2_commanded_y_m,uav2_commanded_z_m,uav3_commanded_x_m,uav3_commanded_y_m,uav3_commanded_z_m,formation_error_follower2_m,formation_error_follower3_m,formation_error_max_m,centroid_commanded_error_m,member1_commanded_error_m,member2_commanded_error_m,member3_commanded_error_m,minimum_pairwise_distance_m
13.06,-3.8888330731977656e-12,5.344502681600345e-12,1.4999999900901062,-1.0000000000576743,-5.758599397240931e-11,1.499999759048615,0.9999999999614114,-9.092396867499484e-12,1.4999997590468974,0.0,0.0,1.5,-1.0000000000047675,4.961144433839988e-12,1.4999999890154683,0.9999999999952325,4.961144433839988e-12,1.4999999890154683,2.3104150610299226e-7,2.3104321184387278e-7,2.3104321184387278e-7,1.5661511070897706e-7,9.909895998655026e-9,2.2996686792969696e-7,2.2996857376930118e-7,0.9999999999653268
13.07,-3.700895446677078e-12,5.405083424036765e-12,1.499999990293008,-1.0000000000559657,-5.698363530224796e-11,1.4999997657621031,0.9999999999582365,-9.408522030192384e-12,1.499999765760398,0.0,0.0,1.5,-1.0000000000046014,5.048813992143875e-12,1.4999999892386424,0.9999999999953986,5.048813992143875e-12,1.4999999892386424,2.2453091950839474e-7,2.2453261355306475e-7,2.2453261355306475e-7,1.5222059707970576e-7,9.706994309354493e-9,2.234765537861883e-7,2.2347824791189096e-7,0.9999999999619626
13.08,-3.509989510729878e-12,5.459715970006804e-12,1.4999999904920567,-1.0000000000542955,-5.6288308859881944e-11,1.4999997723082001,0.9999999999552299,-9.705595869603048e-12,1.4999997723065082,0.0,0.0,1.5,-1.00000000000443,5.130894488229286e-12,1.499999989457622,0.99999999999557,5.130894488229286e-12,1.499999989457622,2.1818387118551353e-7,2.181855529455711e-7,2.181855529455711e-7,1.4793616494713363e-7,9.5079455369898e-9,2.1714943618876857e-7,2.1715111801101396e-7,0.9999999999587637
13.09,-3.3168443996355134e-12,5.508716249406212e-12,1.4999999906873183,-1.0000000000526703,-5.551304233932523e-11,1.4999997786907557,0.9999999999524031,-9.961479824471809e-12,1.499999778689068,0.0,0.0,1.5,-1.0000000000042537,5.207498046082762e-12,1.4999999896724772,0.9999999999957462,5.207498046082762e-12,1.4999999896724772,2.1199657705406115e-7,2.119982554768053e-7,2.119982554768053e-7,1.4375927633949055e-7,9.312683956824379e-9,2.1098173571992776e-7,2.1098341418527006e-7,0.9999999999557423
13.1,-3.1219061053521536e-12,5.551997378442525e-12,1.499999990878857,-1.0000000000510896,-5.464909625875957e-11,1.499999784913528,0.999999999949747,-1.0175834546552975e-11,1.4999997849118438,0.0,0.0,1.5,-1.0000000000040732,5.278692096906962e-12,1.4999999898832848,0.9999999999959268,5.278692096906962e-12,1.4999999898832848,2.0596534339793698e-7,2.0596701921557618e-7,2.0596701921557618e-7,1.396874523497918e-7,9.121145176046705e-9,2.0496977087603319e-7,2.049714467161018e-7,0.9999999999528901
13.11,-2.9256058788864735e-12,5.589478805007462e-12,1.4999999910667372,-1.0000000000495495,-5.3703954635448115e-11,1.4999997909802039,0.9999999999472531,-1.0361726631425225e-11,1.4999997909785296,0.0,0.0,1.5,-1.000000000003889,5.344502681600345e-12,1.4999999900901062,0.9999999999961112,5.344502681600345e-12,1.4999999900901062,2.0008654755938004e-7,2.0008821439660517e-7,2.0008821439660517e-7,1.3571825315231147e-7,8.933265023872488e-9,1.991099163347996e-7,1.9911158317371768e-7,0.9999999999501987
13.120000000000001,-2.7285055892512556e-12,5.6210870223182325e-12,1.4999999912510207,-1.000000000048062,-5.2686808784091644e-11,1.499999796894399,0.9999999999449298,-1.0527339652630616e-11,1.499999796892731,0.0,0.0,1.5,-1.0000000000037008,5.405083424036765e-12,1.499999990293008,0.9999999999962991,5.405083424036765e-12,1.499999990293008,1.9435663571886492e-7,1.9435829740341068e-7,1.9435829740341068e-7,1.3184929421035247e-7,8.748981549990548e-9,1.9339862271768567e-7,1.9340028438277741e-7,0.9999999999476772
13.13,-2.530982511522792e-12,5.647014277732392e-12,1.4999999914317708,-1.0000000000466116,-5.1594518500679555e-11,1.4999998026596328,0.9999999999427731,-1.0671871585768435e-11,1.4999998026579753,0.0,0.0,1.5,-1.00000000000351,5.459715970006804e-12,1.4999999904920567,0.99999999999649,5.459715970006804e-12,1.4999999904920567,1.8877215174659195e-7,1.8877380411345013e-7,1.8877380411345013e-7,1.2807825115867204e-7,8.568231471914866e-9,1.8783243744725e-7,1.8783408977359272e-7,0.9999999999453218
13.14,-2.3334877657592713e-12,5.667100371025408e-12,1.499999991609048,-1.000000000045205,-5.0431144652539775e-11,1.4999998082793609,0.9999999999407868,-1.0793209950627382e-11,1.4999998082777142,0.0,0.0,1.5,-1.000000000003317,5.508716249406212e-12,1.4999999906873183,0.9999999999966832,5.508716249406212e-12,1.4999999906873183,1.8332970080457313e-7,1.833313434542905e-7,1.833313434542905e-7,1.244028444865798e-7,8.390954171475012e-9,1.8240797079255247e-7,1.8240961338082006e-7,0.999999999943137
13.15,-2.1362901652748344e-12,5.6813629953284265e-12,1.4999999917829125,-1.0000000000438423,-4.9193360922040006e-11,1.4999998137569617,0.9999999999389779,-1.0890153869717579e-11,1.4999998137553239,0.0,0.0,1.5,-1.000000000003122,5.551997378442525e-12,1.499999990878857,0.999999999996878,5.551997378442525e-12,1.499999990878857,1.7802596421241102e-7,1.7802759918094528e-7,1.7802759918094528e-7,1.2082084530829208e-7,8.217089696677764e-9,1.7712190851400564e-7,1.7712354340045794e-7,0.99999999994113
13.16,-1.9399817270309022e-12,5.689944704640893e-12,1.499999991953424,-1.0000000000425266,-4.790469491702193e-11,1.4999998190957395,0.9999999999373235,-1.0969721871891737e-11,1.4999998190941157,0.0,0.0,1.5,-1.0000000000029257,5.589478805007462e-12,1.4999999910667372,0.9999999999970743,5.589478805007462e-12,1.4999999910667372,1.7285769746181966e-7,1.7285931967377365e-7,1.7285931967377365e-7,1.1733007159463632e-7,8.046578317731423e-9,1.7197101054410253e-7,1.7197263265389638e-7,0.9999999999392784
13.17,-1.7446751166352643e-12,5.692825206386391e-12,1.4999999921206404,-1.0000000000412521,-4.655276337814141e-11,1.4999998242989292,0.9999999999358316,-1.1025793340216377e-11,1.499999824297321,0.0,0.0,1.5,-1.0000000000027285,5.6210870223182325e-12,1.4999999912510207,0.9999999999972715,5.6210870223182325e-12,1.4999999912510207,1.67821723977195e-7,1.678233319058771e-7,1.678233319058771e-7,1.1392839082572701e-7,7.87936185890412e-9,1.6695210408184173e-7,1.6695371188901075e-7,0.9999999999375904
13.18,-1.5510099677747939e-12,5.690173873891599e-12,1.4999999922846206,-1.0000000000400309,-4.513471655723055e-11,1.4999998293696912,0.9999999999345034,-1.1050604826539943e-11,1.499999829368097,0.0,0.0,1.5,-1.000000000002531,5.647014277732392e-12,1.4999999914317708,0.999999999997469,5.647014277732392e-12,1.4999999914317708,1.629149417971135e-7,1.6291653701462348e-7,1.6291653701462348e-7,1.1061371822417267e-7,7.7153817006178e-9,1.62062091828679e-7,1.6206368690623516e-7,0.9999999999360676
