time_s,reference_correction_max_m,reference_correction_rms_m,pp_cbf_active,hocbf_residual,projection_correction_mps2,infeasible,output_hold,minimum_pairwise_distance_m,project_evaluation_distance_m
33.97,0.29519029008409836,0.24102186257672967,0.0,2.911403242710727,0.0,0.0,0.0,1.0871130312714048,0.6
33.980000000000004,0.29489985145119185,0.24078472042599217,0.0,2.9122441705427016,0.0,0.0,0.0,1.0873029350850387,0.6
33.99,0.2946096794991683,0.24054779601928383,0.0,2.9130843544498397,0.0,0.0,0.0,1.0874926668170672,0.6
34.0,0.2943197740801307,0.24031108923584724,0.0,2.9139237893505987,0.0,0.0,0.0,1.087682225499886,0.6
34.01,0.29403013504573594,0.24007459995456068,0.0,2.914762574002572,0.0,0.0,0.0,1.0878716327101696,0.6
34.02,0.29374076224719864,0.23983832805394148,0.0,2.915600501041385,0.0,0.0,0.0,1.0880608429716254,0.6
34.03,0.2934516555352941,0.2396022734121482,0.0,2.916437676793319,0.0,0.0,0.0,1.0882498795499713,0.6
34.04,0.29316281476036204,0.23936643590698364,0.0,2.9172741229501473,0.0,0.0,0.0,1.0884387473464023,0.6
34.05,0.29287423977230914,0.2391308154158972,0.0,2.9181098072989915,0.0,0.0,0.0,1.0886274392987167,0.6
34.06,0.29258593042061365,0.23889541181598842,0.0,2.918944736840501,0.0,0.0,0.0,1.0888159568987563,0.6
34.07,0.2922978865543279,0.23866022498400893,0.0,2.9197790288416736,0.0,0.0,0.0,1.089004325786291,0.6
34.08,0.29201010802208166,0.23842525479636548,0.0,2.9206124657085053,0.0,0.0,0.0,1.0891924982389178,0.6
34.09,0.2917225946720855,0.23819050112912252,0.0,2.9214451626226716,0.0,0.0,0.0,1.089380499462071,0.6
34.1,0.29143534635213425,0.23795596385800508,0.0,2.922277115644334,0.0,0.0,0.0,1.0895683287372009,0.6
34.11,0.2911483629096098,0.23772164285840108,0.0,2.923108421947173,0.0,0.0,0.0,1.0897560073176376,0.6
34.12,0.29086164419148514,0.23748753800536423,0.0,2.9239388761666314,0.0,0.0,0.0,1.0899434901168588,0.6
34.13,0.2905751900443265,0.23725364917361666,0.0,2.924768583398101,0.0,0.0,0.0,1.0901308001562031,0.6
34.14,0.2902890003142976,0.23701997623755144,0.0,2.925597565365852,0.0,0.0,0.0,1.090317942350427,0.6
34.15,0.2900030748471622,0.23678651907123524,0.0,2.9264257905862436,0.0,0.0,0.0,1.0905049097908142,0.6
34.160000000000004,0.2897174134882872,0.23655327754841063,0.0,2.9272532646999525,0.0,0.0,0.0,1.0906917036689345,0.6
34.17,0.2894320160826464,0.23632025154249925,0.0,2.928080105873617,0.0,0.0,0.0,1.0908783498564143,0.6
34.18,0.28914688247482306,0.23608744092660391,0.0,2.9289060975006387,0.0,0.0,0.0,1.0910648007918513,0.6
34.19,0.2888620125090132,0.23585484557351116,0.0,2.9297313538976004,0.0,0.0,0.0,1.0912510815168521,0.6
34.2,0.28857740602902876,0.23562246535569398,0.0,2.930555869944523,0.0,0.0,0.0,1.0914371910567262,0.6
34.21,0.28829306287830064,0.23539030014531426,0.0,2.9313797438634674,0.0,0.0,0.0,1.0916231509202636,0.6
34.22,0.2880089828998816,0.23515834981422512,0.0,2.932202771321434,0.0,0.0,0.0,1.0918089161966114,0.6
34.230000000000004,0.2877251659364498,0.23492661423397376,0.0,2.9330250566902474,0.0,0.0,0.0,1.0919945097745969,0.6
34.24,0.28744161183031125,0.2346950932758036,0.0,2.9338466198521234,0.0,0.0,0.0,1.0921799361685167,0.6
34.25,0.28715832042340317,0.23446378681065694,0.0,2.934667432272523,0.0,0.0,0.0,1.0923651891122848,0.6
34.26,0.28687529155729674,0.23423269470917718,0.0,2.9354874980788352,0.0,0.0,0.0,1.0925502694674973,0.6
34.27,0.2865925250732006,0.2340018168417117,0.0,2.9363069346248567,0.0,0.0,0.0,1.0927352029554516,0.6
34.28,0.28631002081196316,0.23377115307831384,0.0,2.9371255272577157,0.0,0.0,0.0,1.092919942390631,0.6
34.29,0.28602777861407597,0.23354070328874546,0.0,2.93794338901656,0.0,0.0,0.0,1.0931045125660523,0.6
34.300000000000004,0.2857457983196766,0.23331046734247937,0.0,2.938760515156215,0.0,0.0,0.0,1.0932889125844947,0.6
34.31,0.2854640797685514,0.23308044510870174,0.0,2.939577003336074,0.0,0.0,0.0,1.0934731638587802,0.6
34.32,0.2851826228001386,0.2328506364563144,0.0,2.9403926506680977,0.0,0.0,0.0,1.0936572217471556,0.6
34.33,0.28490142725353124,0.23262104125393734,0.0,2.94120756085993,0.0,0.0,0.0,1.0938411090157056,0.6
34.34,0.2846204929674795,0.2323916593699107,0.0,2.942021752440115,0.0,0.0,0.0,1.0940248298855666,0.6
34.35,0.28433981978039446,0.23216249067229774,0.0,2.942835199123328,0.0,0.0,0.0,1.0942083785809984,0.6
34.36,0.28405940753035014,0.2319335350288863,0.0,2.94364790343032,0.0,0.0,0.0,1.094391755613076,0.6
34.37,0.28377925605508697,0.23170479230719207,0.0,2.944459982460147,0.0,0.0,0.0,1.0945749866722643,0.6
34.38,0.2834993651920138,0.2314762623744599,0.0,2.945271223471212,0.0,0.0,0.0,1.0947580249472875,0.6
34.39,0.28321973477821166,0.23124794509766705,0.0,2.9460817382618103,0.0,0.0,0.0,1.0949408949855417,0.6
34.4,0.2829403646504359,0.23101984034352482,0.0,2.9468915214751803,0.0,0.0,0.0,1.0951235957502645,0.6
34.410000000000004,0.28266125464511893,0.2307919479784808,0.0,2.947700671337175,0.0,0.0,0.0,1.0953061488008575,0.6
34.42,0.2823824045983736,0.2305642678687217,0.0,2.9485089861828895,0.0,0.0,0.0,1.0954885097284925,0.6
34.43,0.282103814345995,0.23033679988017475,0.0,2.9493165687464318,0.0,0.0,0.0,1.0956707011064226,0.6
34.44,0.28182548372346405,0.23010954387851068,0.0,2.9501234363168614,0.0,0.0,0.0,1.0958527268809237,0.6
34.45,0.28154741256594956,0.22988249972914546,0.0,2.9509295647317546,0.0,0.0,0.0,1.0960345817419141,0.6
34.46,0.2812696007083114,0.22965566729724282,0.0,2.9517349554424377,0.0,0.0,0.0,1.0962162659681172,0.6
34.47,0.2809920479851031,0.22942904644771595,0.0,2.9525397248046956,0.0,0.0,0.0,1.0963978051129337,0.6
34.480000000000004,0.28071475423057407,0.22920263704523042,0.0,2.953343662022813,0.0,0.0,0.0,1.0965791527452005,0.6
34.49,0.2804377192786729,0.22897643895420564,0.0,2.9541468776648543,0.0,0.0,0.0,1.0967603331689455,0.6
34.5,0.2801609429630492,0.22875045203881714,0.0,2.954949449260912,0.0,0.0,0.0,1.0969413635477765,0.6
34.51,0.27988442511705747,0.22852467616299935,0.0,2.9557512977024025,0.0,0.0,0.0,1.0971222264089362,0.6
34.52,0.2796081655737581,0.22829911119044682,0.0,2.9565523230627204,0.0,0.0,0.0,1.0973028996885559,0.6
34.53,0.27933216416592144,0.2280737569846169,0.0,2.95735273005402,0.0,0.0,0.0,1.097483428521209,0.6
34.54,0.27905642072602954,0.2278486134087318,0.0,2.958152336733064,0.0,0.0,0.0,1.0976637729605032,0.6
34.550000000000004,0.2787809350862784,0.2276236803257803,0.0,2.958951292393342,0.0,0.0,0.0,1.09784396578673,0.6
34.56,0.27850570707858174,0.22739895759852047,0.0,2.9597494337062695,0.0,0.0,0.0,1.0980239711163815,0.6
34.57,0.2782307365345726,0.2271744450894812,0.0,2.9605469407447647,0.0,0.0,0.0,1.098203828582825,0.6
34.58,0.2779560232856059,0.22695014266096428,0.0,2.9613436424518333,0.0,0.0,0.0,1.0983835006074227,0.6
34.59,0.2776815671627615,0.22672605017504716,0.0,2.9621397008996855,0.0,0.0,0.0,1.0985630228215486,0.6
34.6,0.27740736799684584,0.22650216749358376,0.0,2.9629350321247694,0.0,0.0,0.0,1.0987423767749172,0.6
34.61,0.2771334256183953,0.22627849447820772,0.0,2.9637295597175926,0.0,0.0,0.0,1.0989215456253494,0.6
34.62,0.2768597398576782,0.22605503099033358,0.0,2.964523358909969,0.0,0.0,0.0,1.0991005460411025,0.6
34.63,0.27658631054469707,0.22583177689115908,0.0,2.965316424113783,0.0,0.0,0.0,1.09927937693494,0.6
34.64,0.27631313750919195,0.22560873204166754,0.0,2.966108768964069,0.0,0.0,0.0,1.0994580413128783,0.6
34.65,0.2760402205806416,0.22538589630262887,0.0,2.9669004147881695,0.0,0.0,0.0,1.09963654382736,0.6
34.660000000000004,0.275767559588267,0.2251632695346026,0.0,2.9676913268587652,0.0,0.0,0.0,1.0998148767711238,0.6
34.67,0.275495154361033,0.22494085159793922,0.0,2.968481513192284,0.0,0.0,0.0,1.0999930418733188,0.6
34.68,0.27522300472765104,0.22471864235278213,0.0,2.9692709880463166,0.0,0.0,0.0,1.1001710422758721,0.6
34.69,0.27495111051658166,0.2244966416590699,0.0,2.9700597337195127,0.0,0.0,0.0,1.1003488740698655,0.6
34.7,0.2746794715560366,0.22427484937653813,0.0,2.97084786396899,0.0,0.0,0.0,1.1005265622494365,0.6
34.71,0.27440808767398117,0.22405326536472095,0.0,2.9716351760877346,0.0,0.0,0.0,1.1007040620923665,0.6
34.72,0.27413695869813676,0.22383188948295357,0.0,2.9724217784346574,0.0,0.0,0.0,1.1008813974485783,0.6
34.730000000000004,0.27386608445598304,0.22361072159037368,0.0,2.973207743972742,0.0,0.0,0.0,1.101058584497743,0.6
34.74,0.2735954647747602,0.2233897615459235,0.0,2.973992922930447,0.0,0.0,0.0,1.1012355901870887,0.6
34.75,0.2733250994814715,0.2231690092083517,0.0,2.9747773761901346,0.0,0.0,0.0,1.101412427900915,0.6
34.76,0.2730549884028852,0.2229484644362153,0.0,2.9755611955790147,0.0,0.0,0.0,1.1015891179475967,0.6
34.77,0.2727851313655372,0.22272812708788142,0.0,2.9763443032551944,0.0,0.0,0.0,1.101765643116159,0.6
34.78,0.27251552819573327,0.22250799702152918,0.0,2.9771266061698505,0.0,0.0,0.0,1.1019419828167558,0.6
34.79,0.27224617871955065,0.22228807409515144,0.0,2.977908299417763,0.0,0.0,0.0,1.1021181801374003,0.6
34.800000000000004,0.2719770827628413,0.22206835816655676,0.0,2.9786892063984785,0.0,0.0,0.0,1.1022941962170596,0.6
34.81,0.27170824015123346,0.22184884909337133,0.0,2.9794694731221267,0.0,0.0,0.0,1.1024700631741136,0.6
34.82,0.2714396507101339,0.2216295467330402,0.0,2.9802489394693485,0.0,0.0,0.0,1.1026457457580099,0.6
34.83,0.2711713142647305,0.22141045094283002,0.0,2.9810277827142735,0.0,0.0,0.0,1.1028212830603739,0.6
34.84,0.27090323063999383,0.2211915615798298,0.0,2.9818058355381756,0.0,0.0,0.0,1.10299663824197,0.6
34.85,0.27063539966068,0.2209728785009536,0.0,2.982583254855902,0.0,0.0,0.0,1.1031718458655275,0.6
34.86,0.2703678211513325,0.22075440156294157,0.0,2.9833599610818644,0.0,0.0,0.0,1.1033468884020547,0.6
34.87,0.270100494936284,0.22053613062236213,0.0,2.9841358780946203,0.0,0.0,0.0,1.103521749031764,0.6
34.88,0.2698334208396592,0.22031806553561364,0.0,2.984911076567372,0.0,0.0,0.0,1.1036964434489611,0.6
34.89,0.2695665986853765,0.22010020615892603,0.0,2.985685557410334,0.0,0.0,0.0,1.1038709719904762,0.6
34.9,0.26930002829715005,0.21988255234836257,0.0,2.9864593315289265,0.0,0.0,0.0,1.1040453370633798,0.6
34.910000000000004,0.2690337094984924,0.21966510395982183,0.0,2.987232414315287,0.0,0.0,0.0,1.10421954200898,0.6
34.92,0.2687676421127158,0.21944786084903883,0.0,2.9880047798834446,0.0,0.0,0.0,1.1043935810640308,0.6
34.93,0.2685018259629349,0.21923082287158735,0.0,2.988776431391978,0.0,0.0,0.0,1.1045674548861264,0.6
34.94,0.2682362608720687,0.21901398988288137,0.0,2.9895474786690666,0.0,0.0,0.0,1.1047411876703843,0.6
34.95,0.2679709466628422,0.21879736173817638,0.0,2.9903177454785554,0.0,0.0,0.0,1.1049147404429587,0.6
34.96,0.2677058831577893,0.21858093829257197,0.0,2.9910872914893742,0.0,0.0,0.0,1.1050881263305732,0.6
34.97,0.2674410701792537,0.21836471940101235,0.0,2.991856224229775,0.0,0.0,0.0,1.1052613691596058,0.6
34.980000000000004,0.2671765075493921,0.2181487049182891,0.0,2.992624442849113,0.0,0.0,0.0,1.1054344466252752,0.6
34.99,0.2669121950901751,0.2179328946990418,0.0,2.993391864884116,0.0,0.0,0.0,1.1056073404427418,0.6
35.0,0.26664813262339027,0.21771728859776066,0.0,2.994158585797688,0.0,0.0,0.0,1.1057800718312902,0.6
35.01,0.2663843199706433,0.2175018864687873,0.0,2.9949246056364145,0.0,0.0,0.0,1.1059526409446057,0.6
35.02,0.2661207569533603,0.21728668816631672,0.0,2.9956899342508203,0.0,0.0,0.0,1.1061250499272846,0.6
