axis,time_s,reference_m,response_m,raw_sha256
X,8.99,0.0,1.65127691783962e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.0,0.0,1.63314276517487e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.01,0.0,1.61488847680069e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.02,0.0,1.59651713512689e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.03,0.0,1.57803181725042e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.04,0.0,1.55943559495533e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.05,0.0,1.54073153471283e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.06,0.0,1.52192269768124e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.07,0.0,1.503012139706e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.08,0.0,1.48400291131968e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.09,0.0,1.46489805774199e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.1,0.0,1.44570061887975e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.11,0.0,1.42641362932692e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.12,0.0,1.40704011836458e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.13,0.0,1.38758310996093e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.14,0.0,1.3680456227713e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.15,0.0,1.34843067013817e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.16,0.0,1.3287412600911e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.17,0.0,1.30898039534682e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.18,0.0,1.28915107330917e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.19,0.0,1.26925628606911e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.2,0.0,1.24929902040473e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.21,0.0,1.22928225778126e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.22,0.0,1.20920897435103e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.23,0.0,1.18924826920391e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.24,0.0,1.1694387348276e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.25,0.0,1.14962113974469e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.26,0.0,1.12980037457969e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.27,0.0,1.10998136345669e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.28,0.0,1.09016906399935e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.29,0.0,1.07036846733091e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.3,0.0,1.05058459807422e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.31,0.0,1.03082251435167e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.32,0.0,1.01108730778525e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.33,0.0,9.91384103496536e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.34,0.0,9.71718060106664e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.35,0.0,9.52094369736363e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.36,0.0,9.32518258005942e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.37,0.0,9.12994984035282e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.38,0.0,8.93529840443857e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.39,0.0,8.74128153350709e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.4,0.0,8.54795282374466e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.41,0.0,8.35536620633332e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.42,0.0,8.16357594745094e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.43,0.0,7.97263664827118e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.44,0.0,7.78260324496349e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.45,0.0,7.5935310086931e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.46,0.0,7.40547554562113e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.47,0.0,7.21849279690439e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.48,0.0,7.03263903869555e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.49,0.0,6.84797088214305e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.5,0.0,6.66454527339114e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.51,0.0,6.48241949357987e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.52,0.0,6.3016511588451e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.53,0.0,6.12229822031847e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.54,0.0,5.94441896412738e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.55,0.0,5.76807201139517e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.56,0.0,5.59331631824082e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.57,0.0,5.4202111757792e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.58,0.0,5.24881621012093e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.59,0.0,5.07686879291382e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.6,0.0,4.90317379215676e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.61,0.0,4.73077399681147e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.62,0.0,4.55970319622819e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.63,0.0,4.38999500784318e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.64,0.0,4.22168287717857e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.65,0.0,4.05480007784247e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.66,0.0,3.88937971152892e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.67,0.0,3.72545470801794e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.68,0.0,3.56305782517545e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.69,0.0,3.40222164895336e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.7,0.0,3.24297859338948e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.71,0.0,3.08536090060764e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,9.72,0.0,2.92940064081757e-11,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
