time_s,pp_cbf_off_minimum_distance_m,pp_cbf_on_minimum_distance_m,project_evaluation_distance_m,pp_cbf_off_cumulative_exposure_s,pp_cbf_on_cumulative_exposure_s
35.63,1.280624833904642,1.116339517485322,0.6,2.040000000000001,0.0
35.64,1.280624834113212,1.1165020940961614,0.6,2.040000000000001,0.0
35.65,1.2806248343187259,1.116664500039271,0.6,2.040000000000001,0.0
35.660000000000004,1.280624834521193,1.1168267478396017,0.6,2.040000000000001,0.0
35.67,1.2806248347206244,1.1169888593280717,0.6,2.040000000000001,0.0
35.68,1.2806248349170324,1.1171507987545182,0.6,2.040000000000001,0.0
35.69,1.2806248351104295,1.1173125806092075,0.6,2.040000000000001,0.0
35.7,1.2806248353008305,1.1174742093168972,0.6,2.040000000000001,0.0
35.71,1.2806248354882381,1.1176357031365176,0.6,2.040000000000001,0.0
35.72,1.280624835672682,1.1177970376247008,0.6,2.040000000000001,0.0
35.730000000000004,1.2806248358541799,1.117958201520014,0.6,2.040000000000001,0.0
35.74,1.2806248360327637,1.118119228552106,0.6,2.040000000000001,0.0
35.75,1.2806248362084407,1.1182801034570482,0.6,2.040000000000001,0.0
35.76,1.2806248363812314,1.1184408096099547,0.6,2.040000000000001,0.0
35.77,1.2806248365511583,1.1186013775152461,0.6,2.040000000000001,0.0
35.78,1.2806248367182447,1.118761791805845,0.6,2.040000000000001,0.0
35.79,1.2806248368825146,1.1189220360688992,0.6,2.040000000000001,0.0
35.800000000000004,1.2806248370439939,1.1190821249482366,0.6,2.040000000000001,0.0
35.81,1.280624837202709,1.1192420599442658,0.6,2.040000000000001,0.0
35.82,1.2806248373586864,1.1194018465939088,0.6,2.040000000000001,0.0
35.83,1.280624837511955,1.1195614781316072,0.6,2.040000000000001,0.0
35.84,1.2806248376625444,1.1197209548983769,0.6,2.040000000000001,0.0
35.85,1.280624837810484,1.1198802806549446,0.6,2.040000000000001,0.0
35.86,1.2806248379558052,1.1200394521488217,0.6,2.040000000000001,0.0
35.87,1.2806248380985399,1.1201984705279797,0.6,2.040000000000001,0.0
35.88,1.2806248382387202,1.1203573574697758,0.6,2.040000000000001,0.0
35.89,1.2806248383763796,1.1205160770796383,0.6,2.040000000000001,0.0
35.9,1.2806248385115526,1.1206746415446454,0.6,2.040000000000001,0.0
35.910000000000004,1.2806248386442731,1.1208330720623225,0.6,2.040000000000001,0.0
35.92,1.280624838774577,1.1209913337087314,0.6,2.040000000000001,0.0
35.93,1.2806248389024997,1.1211494406152411,0.6,2.040000000000001,0.0
35.94,1.2806248390280783,1.1213073976935386,0.6,2.040000000000001,0.0
35.95,1.2806248391513493,1.1214652222843218,0.6,2.040000000000001,0.0
35.96,1.28062483927235,1.1216228908109658,0.6,2.040000000000001,0.0
