time,referenceVector[3],quadChassisTest17_1.body.r_0[3],controllerDiagnostics[11],controllerDiagnostics[12],controllerDiagnostics[13],controllerDiagnostics[14],controllerDiagnostics[15],max_motor_q,q_domain_usage_percent
16.05,1.5,1.4996189890521026,1.1109911849835814,1.1109911849835814,1.0,-0.0007056707761782,3600.0,222.3008853401896,6.1750245927830445
16.1,1.5,1.4996206195469182,1.1109916797102497,1.1109916797102497,1.0,-0.0007027598461093,3600.0,222.3008864778844,6.175024624385678
16.15,1.5,1.4996222395013663,1.1109921715681008,1.1109921715681008,1.0,-0.0006998658333234,3600.0,222.30088760526488,6.175024655701802
16.2,1.5,1.4996238490399665,1.1109926605825686,1.1109926605825686,1.0,-0.0006969885181531,3600.0,222.3008887202229,6.175024686672859
16.25,1.5,1.4996254482859004,1.1109931467787642,1.1109931467787642,1.0,-0.000694127793274,3600.0,222.30088982129197,6.17502471725811
16.3,1.5,1.4996270373607727,1.1109936301814989,1.1109936301814989,1.0,-0.0006912835189544,3600.0,222.30089090667093,6.175024747407526
16.35,1.5,1.4996286163844674,1.1109941108152774,1.1109941108152774,1.0,-0.0006884555154453,3600.0,222.30089197574674,6.175024777104076
16.4,1.5,1.499630185475102,1.11099458870429,1.11099458870429,1.0,-0.0006856436616974,3600.0,222.30089302699275,6.175024806305354
16.45,1.5,1.499631744748878,1.1109950638724462,1.1109950638724462,1.0,-0.0006828477803975,3600.0,222.30089406011862,6.1750248350032955
16.5,1.5,1.499633294319996,1.1109955363433597,1.1109955363433597,1.0,-0.0006800678129528,3600.0,222.30089507461827,6.175024863183841
16.55,1.5,1.499634834300545,1.110996006140369,1.110996006140369,1.0,-0.000677303537818,3600.0,222.30089607032062,6.17502489084224
16.6,1.5,1.4996363648005608,1.1109964732865127,1.1109964732865127,1.0,-0.0006745548803527,3600.0,222.3008970464306,6.1750249179564065
16.65,1.5,1.4996378859279162,1.110996937804563,1.110996937804563,1.0,-0.0006718216705402,3600.0,222.30089800299513,6.175024944527642
16.7,1.5,1.499639397788343,1.110997399717014,1.110997399717014,1.0,-0.000669103802367,3600.0,222.3008989398494,6.175024970551372
16.75,1.5,1.4996409004853946,1.1109978590461014,1.1109978590461014,1.0,-0.000666401130938,3600.0,222.30089985688244,6.175024996024511
16.8,1.5,1.4996423941204828,1.1109983158137744,1.1109983158137744,1.0,-0.0006637135351659,3600.0,222.30090075535492,6.175025020982082
